Page / Category,Page / Feature,Impressions,Visits
Home Page,Main Cluster (Recommended For You),"12,755",420
Home Page,Recently Viewed,"267,404",755
Home Page,Trending Among Friends,"34,658",451
Home Page,Spotlight,0,0
Home Page,Because You Played X,"206,783","3,500"
Home Page,Recommended by Curators,"136,076",153
Home Page,"Recommended by Curators, large spot","12,434",248
Home Page,Main Cluster (Curator Recommendation),"117,284",708
Home Page,Main Cluster (Followed Creator),"2,620",119
Home Page,Upcoming List,"1,497,394","20,443"
Home Page,(Other),"8,963",250
Home Page,New and Trending,"13,824,623","76,996"
Home Page,Under $10,"125,367",874
Home Page,Main Cluster (Top Seller),"1,196",62
Home Page,Recommended by Developer or Publisher,"125,837","2,427"
Home Page,Main Cluster (Friend Recommendation),"41,067",589
Home Page,Top Sellers List,29,3
Home Page,Community Recommendations,"354,867","3,791"
Home Page,Daily Deal,"11,842,968","72,375"
Home Page,Specials Tab,495,59
Home Page,Recommended based on the games you play,"259,824","9,529"
Home Page,Takeover Banner,0,0
Home Page,Discounts & Events Grid,"7,034",24
Home Page,Updated Games,"82,452","1,313"
Home Page,Featured Games By Tag - Top,"56,507",384
Search Suggestions,Search Auto-complete,"2,286,418","108,899"
Search Suggestions,Recently Viewed,"231,196","2,486"
Search Suggestions,Popular Searches,29,0
Recommendation Feed,Similar by wishlist,"84,468","1,325"
Recommendation Feed,Similar by playtime,"144,502","2,745"
Recommendation Feed,Friends reviews,"3,964",49
Recommendation Feed,Similar by tags,"1,314,806","5,794"
Tag Page,Trending Wishlist Section,"96,509",746
Tag Page,Faceted Browsing,"41,961",659
Tag Page,Top Sellers List,"35,762",949
Tag Page,Featured Products,321,34
Tag Page,Browse Items - Coming Soon,"12,130",187
Tag Page,(Other),"472,815","5,591"
Tag Page,Browse Items - All,"321,669","4,141"
Tag Page,Browse Items - Top Rated,"37,846","1,061"
Tag Page,Browse Items - Search,107,12
Tag Page,Browse Items - Discounted,"10,412",128
Tag Page,Section Item,"10,763",280
Tag Page,Browse Items - Popular,169,1
Tag Page,New & Trending List,"43,208",510
Tag Page,On Your Wishlist Section,"19,940",682
Tag Page,Popular Titles,"289,504","4,036"
Tag Page,Recent Events Section,"4,682",16
Tag Page,Recommended Section,"17,294",540
Tag Page,Daily Deal,"126,295","2,611"
Specials - Full List,Browse Search Results,"1,538,321","2,715"
Specials - Full List,(Other),0,9
Discounts & Events Hub,Faceted Browsing,"75,889",238
Discounts & Events Hub,Top Sellers List,"97,814",342
Discounts & Events Hub,Browse Items - All,"781,376","1,831"
